shape_id,shape_name,r1,r2,r3,r4,cell_size,stat_version
1,점,1,,,,40,1
2,가로2,11,,,,40,1
3,세로2,1,1,,,40,1
4,가로3,111,,,,40,1
5,세로3,1,1,1,,40,1
6,ㄱ자,11,10,,,40,1
7,역ㄱ자,11,01,,,40,1
8,L자,10,11,,,40,1
9,역L자,01,11,,,40,1
10,정사각형,11,11,,,40,1
11,가로4,1111,,,,40,1
12,세로4,1,1,1,1,40,1
13,T자,111,010,,,40,1
14,역T자,010,111,,,40,1
15,Z자,110,011,,,40,1
16,S자,011,110,,,40,1
17,십자,010,111,010,,40,1
18,큰L자,10,10,11,,40,1
19,직사각형,111,111,,,40,1
20,큰정사각형,111,111,111,,40,1
21,불_테두리,11111,10001,10001,11111,40,1
22,불_날개,01110,11111,01110,,40,1
23,불_투사체,111,111,111,,40,1
24,얼음_광역기,11,111,1111,,40,1
25,얼음_단일,1111,1111,0111,,40,1
26,얼음_투사체,111,111,111,,40,1
27,전기_광역기,01110,11111,01110,,40,1
28,전기_단일,11110,01111,00111,,40,1
29,전기_투사체,111,111,111,,40,1
30,풀_테두리,11111,10001,10001,11111,40,1
31,풀_날개,01110,11111,01110,,40,1
32,풀_투사체,111,111,111,,40,1
33,빛_광역기,11111,11111,11111,,40,1
34,빛_단일,11111,10001,11111,,40,1
35,빛_투사체,111,111,111,,40,1
36,어둠_테두리,11111,10001,10001,11111,40,1
37,어둠_단일,11111,11111,,,40,1
38,어둠_투사체,111,111,111,,40,1
39,가로3,111,,,,40,1
40,세로3,1,1,1,,40,1
41,ㄱ자3,11,10,,,40,1
42,ㄴ자3,11,01,,,40,1
43,ㄱ역3,10,11,,,40,1
44,ㄴ역3,01,11,,,40,1
45,네모4,11,11,,,40,1
46,가로4,1111,,,,40,1
47,세로4,1,1,1,1,40,1
48,T자4,111,010,,,40,1
49,S자4,011,110,,,40,1
50,Z자4,110,011,,,40,1
51,L자4,10,10,11,,40,1
52,J자4,01,01,11,,40,1
53,ㅗ자4,010,111,,,40,1
54,긴ㄱ4,11,10,10,,40,1
55,긴ㄴ4,11,01,01,,40,1
56,십자5,010,111,010,,40,1
