sequence_id,line_order,speaker,illustration_key,text
StartRoom,0,God,Illust_God_Default,"깨어나라, 작은 빛이여."
StartRoom,1,God,Illust_God_Default,네가 누구인지 기억하지 못해도 괜찮아. 너는 내가 부른 신성한 영혼이야.
StartRoom,2,Shadow,Illust_Shadow_Default,...또 시작이군. 이번 영혼은 몇 번째인지도 잊었어.
StartRoom,3,God,Illust_God_Default,저기 잠들어 있는 유물을 봐. 오래전 쓰러진 영웅의 몸이야.
StartRoom,4,God,Illust_God_Default,그 몸 속으로 들어가. 유물은 영혼이 깃들어야 비로소 빛을 발하거든.
StartRoom,5,Shadow,Illust_Shadow_Default,...꽤 어울리는 한 쌍이네.
BossRoom,0,Shadow,Illust_Shadow_Default,"이 기운... 오래된 것이야. 조심해, 영혼."
BossRoom,1,God,Illust_God_Default,두려워하지 마. 너는 신성한 빛을 품고 있어.
RunClear,0,God,Illust_God_Default,"해냈어. 잘했어, 나의 영혼."
RunClear,1,Shadow,Illust_Shadow_Default,순환이 한 바퀴 돌았군. 하지만 심연은 끝이 없어.
RunClear,2,God,Illust_God_Default,"잠시 쉬어. 유물도, 영혼도 지쳐 있을 테니."
RunFail,0,Shadow,Illust_Shadow_Default,"...돌아왔군, 작은 빛."
RunFail,1,God,Illust_God_Default,괜찮아. 영혼은 꺼지지 않아. 다시 깃들면 돼.
RunFail,2,God,Illust_God_Default,유물은 아직 기다리고 있어.
Knight_Pickup,0,God,Illust_God_Default,이 몸은 한때 전장을 지배했던 기사야. 굳건한 의지가 깃든 유물이지.
Knight_Pickup,1,Shadow,Illust_Shadow_Default,...기사라. 몸은 믿음직하군. 영혼이 그 무게를 감당할 수 있다면.
Knight_Pickup,2,God,Illust_God_Default,"자, 깃들어. 그 갑옷 안에서 네 빛이 다시 타오를 거야."
Berserker_Pickup,0,Shadow,Illust_Shadow_Default,광전사의 몸... 이건 단순한 유물이 아니야. 분노 그 자체가 새겨진 그릇이지.
Berserker_Pickup,1,God,Illust_God_Default,"두려워하지 마. 그 힘도 결국 너의 것이 될 거야, 작은 빛이여."
Berserker_Pickup,2,Shadow,Illust_Shadow_Default,"...영혼이 이 폭풍을 다스릴 수 있다면, 꽤 볼 만한 순환이 되겠군."
Mage_Pickup,0,God,Illust_God_Default,이 몸에는 오래된 마법의 기억이 남아 있어. 빛과 어둠을 모두 알았던 자의 유물이야.
Mage_Pickup,1,Shadow,Illust_Shadow_Default,"...마법사. 모든 마법은 대가를 치르지. 그것만큼은 잊지 마, 영혼."
Mage_Pickup,2,God,Illust_God_Default,괜찮아. 네 안의 신성한 빛이 그 마법을 인도해 줄 거야.
Lich_Intro,0,Lich,Lich_Portrait,알고 있었어.
